Rank,Game,Platform,Hours Played,Sessions,First Played,Last Played,Last Update,Days Active,Avg Session Hr,Engagement Tier,Genre,Gen,Top_Download_Year,Store_Category,Store_Region,Was_Top_Download
147,UNBEATABLE,PS5,2.0,7,2025-04-18,2025-08-22,2026-04-01,127,0.29,Casual,Other,PS5,,,,False
148,SMITE 2,PS5,2.0,3,2025-01-31,2025-01-31,2026-04-01,1,0.67,Casual,Other,PS5,,,,False
149,Ghostwire: Tokyo,PS5,2.0,1,2023-03-26,2023-03-26,2026-04-01,1,2.0,Casual,Other,PS5,,,,False
151,Diablo IV (PS5),PS5,2.0,2,2023-06-13,2023-06-16,2026-04-01,4,1.0,Casual,Other,PS5,,,,False
152,Rocket League,PS4,2.0,4,2021-04-05,2021-11-26,2026-04-01,236,0.5,Casual,Other,PS4,,,,False
153,GreedFall,PS5,1.0,1,2022-08-13,2022-08-18,2026-04-01,6,1.0,Casual,Other,PS5,,,,False
154,Tower of Fantasy,PS5,1.0,1,2023-11-27,2023-11-27,2026-04-01,1,1.0,Casual,Other,PS5,,,,False
155,NBA 2K25 (PS4),PS4,1.0,2,2025-02-27,2025-02-27,2026-04-01,1,0.5,Casual,Other,PS4,,,,False
156,Assassin's Creed Odyssey,PS4,1.0,1,2025-09-01,2025-09-01,2026-04-01,1,1.0,Casual,Other,PS4,2025.0,PS4 Games,EU,True
157,Stardew Valley,PS4,1.0,1,2023-06-13,2023-06-13,2026-04-01,1,1.0,Casual,Other,PS4,2025.0,PS4 Games,US/Canada,True
158,Red Dead Redemption 2,PS4,1.0,2,2021-11-20,2023-03-05,2026-04-01,471,0.5,Casual,Other,PS4,2024.0,PS4 Games,US/Canada,True
159,ONE PIECE BURNING BLOOD,PS4,1.0,1,2022-04-17,2022-04-19,2026-04-01,3,1.0,Casual,Other,PS4,,,,False
160,LEGO The Hobbit,PS4,1.0,2,2024-11-24,2025-08-22,2026-04-01,272,0.5,Casual,Other,PS4,,,,False
161,Golf With Your Friends,PS4,2.0,2,2024-11-06,2024-12-17,2026-04-01,42,1.0,Casual,Other,PS4,,,,False
162,FINAL FANTASY XVI,PS5,0.95,3,2024-10-27,2024-11-08,2026-04-01,13,0.32,Casual,RPG,PS5,2023.0,PS5 Games,US/Canada,True
163,Need for Speed Heat,PS4,0.93,2,2024-09-16,2025-02-06,2026-04-01,144,0.46,Casual,Other,PS4,2024.0,PS4 Games,US/Canada,True
164,Borderlands 3 (PS4),PS4,0.88,3,2024-09-14,2025-04-05,2026-04-01,204,0.29,Casual,Other,PS4,,,,False
165,3on3 Freestyle,PS4,0.88,3,2024-10-07,2025-01-10,2026-04-01,96,0.29,Casual,Other,PS4,,,,False
166,Battlefield 1,PS4,0.85,2,2025-05-23,2025-05-23,2026-04-01,1,0.42,Casual,Other,PS4,,,,False
167,Paladins,PS4,0.83,1,2025-05-13,2025-05-13,2026-04-01,1,0.83,Casual,Other,PS4,,,,False
168,Assassin's Creed The Ezio Collection,PS4,0.73,1,2021-11-13,2021-11-13,2026-04-01,1,0.73,Casual,Other,PS4,,,,False
169,Devil May Cry 5 Series,PS5,0.68,2,2025-04-12,2025-04-13,2026-04-01,2,0.34,Casual,Other,PS5,,,,False
170,Another Crab's Treasure,PS5,0.5,1,2025-06-06,2025-06-06,2026-04-01,1,0.5,Casual,Other,PS5,,,,False
171,Enlisted,PS4,0.48,3,2024-11-09,2024-11-09,2026-04-01,1,0.16,Casual,Other,PS4,,,,False
172,Detroit: Become Human,PS4,0.48,1,2021-04-05,2024-04-05,2026-04-01,1097,0.48,Casual,Other,PS4,,,,False
173,Destiny 2 (PS4),PS4,0.47,3,2023-03-08,2025-04-19,2026-04-01,774,0.16,Casual,Other,PS4,,,,False
174,Madden NFL 24,PS5,0.43,2,2025-01-23,2025-01-23,2026-04-01,1,0.22,Casual,Other,PS5,2023.0,PS5 Games,US/Canada,True
175,Street Fighter V,PS4,0.43,1,2023-03-22,2023-03-22,2026-04-01,1,0.43,Casual,Other,PS4,,,,False
176,UNO,PS5,0.42,2,2024-11-17,2024-11-17,2026-04-01,1,0.21,Casual,Other,PS5,,,,False
177,Fortnite,PS5,0.42,8,2022-04-18,2025-02-15,2026-04-01,1035,0.05,Casual,Other,PS5,,,,False
178,NARAKA: BLADEPOINT,PS5,0.4,1,2025-07-17,2025-07-18,2026-04-01,2,0.4,Casual,Other,PS5,,,,False
179,NBA 2K20,PS4,0.38,1,2025-07-15,2025-07-15,2026-04-01,1,0.38,Casual,Sports,PS4,,,,False
181,Jujutsu Kaisen Cursed Clash,PS5,0.35,1,2024-02-03,2024-04-05,2026-04-01,63,0.35,Casual,Other,PS5,,,,False
182,NARUTO SHIPPUDEN: Ultimate Ninja STORM TRILOGY,PS4,0.33,1,2021-04-05,2021-04-05,2026-04-01,1,0.33,Casual,Other,PS4,,,,False
183,Grand Theft Auto V (PS4),PS4,0.27,1,2021-10-14,2025-11-22,2026-04-01,1501,0.27,Casual,Other,PS4,,,,False
184,Call of Duty: Black Ops III,PS4,0.25,3,2024-10-14,2024-10-14,2026-04-01,1,0.08,Casual,Other,PS4,2024.0,PS4 Games,US/Canada,True
185,DRAGON BALL Z: KAKAROT,PS4,0.23,1,2023-03-22,2023-03-22,2026-04-01,1,0.23,Casual,Other,PS4,,,,False
186,The Seven Deadly Sins: Knights of Britannia,PS4,0.2,1,2023-03-26,2023-03-26,2026-04-01,1,0.2,Casual,Other,PS4,,,,False
187,STEEP,PS4,0.2,1,2025-02-01,2025-02-01,2026-04-01,1,0.2,Casual,Other,PS4,,,,False
188,Teenage Mutant Ninja Turtles: Shredder's Revenge,PS5,0.2,1,2023-12-17,2023-12-25,2026-04-01,9,0.2,Casual,Other,PS5,,,,False
189,ANNO: Mutationem,PS5,0.18,1,2025-04-12,2025-04-12,2026-04-01,1,0.18,Casual,Other,PS5,,,,False
191,Rise of the Tomb Raider,PS4,0.17,2,2025-02-28,2025-03-01,2026-04-01,2,0.08,Casual,Other,PS4,,,,False
192,LEGO Star Wars: The Skywalker Saga (PS4),PS4,0.13,1,2025-05-25,2025-05-25,2026-04-01,1,0.13,Casual,Other,PS4,,,,False
193,Mortal Kombat 11,PS5,0.12,1,2021-04-25,2021-04-28,2026-04-01,4,0.12,Casual,Other,PS5,,,,False
194,Spotify (2nd entry),PS4,0.05,3,2024-09-14,2025-07-29,2026-04-01,319,0.02,Casual,Other,PS4,,,,False
195,The Witcher 3: Wild Hunt (PS4),PS4,0.05,1,2024-11-17,2024-11-17,2026-04-01,1,0.05,Casual,Other,PS4,,,,False
197,Ghost of Tsushima (PS4),PS4,0.02,1,2024-07-23,2024-07-23,2026-04-01,1,0.02,Casual,Other,PS4,,,,False
198,FINAL FANTASY XIV Online,PS5,0.02,4,2021-05-26,2024-03-29,2026-04-01,1039,0.0,Casual,Other,PS5,,,,False
